Using January 2024 Universe,


Cusip,ISIN,Description,Ticker,Coupon,Maturity,Composite Rating,Currency,Country,Sector Level 1,Sector Level 2,Sector Level 3,Sector Level 4,Type,Face Value,Price,Accrued Interest,% Weight,Cash,Duration To Worst,Yield to Worst,Effective Duration,Effective Yield,OAS vs Govt,Prior Month-End Price,Prior Month-End Accrued Interest,Prior Month-End % Weight,Prior Month-End Duration To Worst,Prior Month-End Yield To Worst,Prior Month-End Effective Duration,Prior Month-End Effective Yield,Prior Month-End OAS vs Govt,TRR % MTD LOC,Excess Rtn % MTD,Asset Swap Spread,Prior Month-End Asset Swap Spread,OAS vs Swap ,Prior Month-End OAS vs Swap,
'AP137335',XS1686846061,Anglo American Capital PLC,AALLN,1.625,9/18/2025,BBB1,EUR,GB,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,600.0,96.817800,0.483948,0.02023,0.000000,1.628,3.582,1.652,3.550,95,97.011,0.466,0.02012,1.640,3.448,1.663,3.419,93,-0.180,-0.049,53,49,55,51,
'AX543265',XS1962513674,Anglo American Capital PLC,AALLN,1.625,3/11/2026,BBB1,EUR,GB,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,500.0,95.837000,1.331967,0.01683,0.000000,2.056,3.644,2.071,3.610,124,96.149,1.314,0.01676,2.070,3.479,2.072,3.446,118,-0.301,-0.110,77,71,80,73,
'7W5TV6XX',XS2536431617,Anglo American Capital PLC,AALLN,4.750,9/21/2032,BBB1,EUR,GB,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,745.0,104.369800,1.375683,0.02730,0.000000,6.820,4.127,7.059,4.073,201,105.119,1.324,0.02728,6.843,4.024,7.080,3.973,200,-0.655,-0.023,159,155,155,151,
'8EFIXCXX',XS2598746290,Anglo American Capital PLC,AALLN,4.500,9/15/2028,BBB1,EUR,GB,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,500.0,103.398700,1.377049,0.01815,0.000000,4.069,3.682,4.148,3.637,162,103.827,1.328,0.01809,4.084,3.584,4.161,3.541,163,-0.361,0.060,115,113,112,111,
'8EFIXBXX',XS2598746373,Anglo American Capital PLC,AALLN,5.000,3/15/2031,BBB1,EUR,GB,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,500.0,105.756000,4.043716,0.01902,0.000000,5.785,4.059,5.793,3.979,198,106.434,3.989,0.01899,5.806,3.953,5.811,3.875,197,-0.565,-0.014,152,148,148,143,
'037833CV',XS1619312173,Apple Inc.,AAPL,0.875,5/24/2025,AA1,EUR,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,1250.0,96.719000,0.540300,0.04212,0.000000,1.329,3.340,1.335,3.309,52,96.869,0.531,0.04188,1.342,3.206,1.342,3.175,50,-0.144,-0.062,11,6,13,7,
'037833CW',XS1619312686,Apple Inc.,AAPL,1.375,5/24/2029,AA1,EUR,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,1250.0,92.972400,0.849044,0.04063,0.000000,5.032,2.799,5.032,2.770,80,93.880,0.834,0.04072,5.053,2.605,5.042,2.576,71,-0.943,-0.432,27,16,28,16,
'037833AV',XS1135337498,Apple Inc.,AAPL,1.625,11/10/2026,AA1,EUR,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,1400.0,96.810940,0.248634,0.04708,0.000000,2.722,2.805,2.747,2.786,55,97.081,0.231,0.04686,2.736,2.699,2.759,2.681,55,-0.259,0.008,13,12,13,12,
'037833BM',XS1292389415,Apple Inc.,AAPL,2.000,9/17/2027,AA1,EUR,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,1000.0,97.281000,0.601093,0.03391,0.000000,3.484,2.782,3.513,2.763,66,97.852,0.579,0.03386,3.501,2.614,3.526,2.597,60,-0.558,-0.205,21,13,21,13,
'037833DR',XS2079716853,Apple Inc.,AAPL,0.000,11/15/2025,AA1,EUR,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,1000.0,94.574070,0.000000,0.03277,0.000000,1.806,3.044,1.827,3.021,51,94.790,0.000,0.03261,1.819,2.900,1.839,2.879,48,-0.228,-0.070,9,5,10,5,
'037833DS',XS2079716937,Apple Inc.,AAPL,0.500,11/15/2031,AA1,EUR,US,Corporate,Industrials,Technology & Electronics,Tech Hardware & Equipment,SENR,1000.0,83.892000,0.069672,0.02909,0.000000,7.496,2.812,7.572,2.791,78,85.186,0.064,0.02932,7.523,2.606,7.590,2.587,66,-1.511,-0.815,27,14,30,15,
'BM636291',DE000A289LU4,Aareal Bank AG,AARB,0.250,11/23/2027,A3,EUR,DE,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SENR,750.0,84.988000,0.029372,0.02209,0.000000,3.698,4.556,3.758,4.505,244,85.345,0.027,0.02202,3.713,4.430,3.771,4.382,242,-0.415,-0.035,179,175,197,194,
'ZO729151',DE000AAR0264,Aareal Bank AG,AARB,0.500,4/7/2027,A3,EUR,DE,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SENR,500.0,88.039600,0.372951,0.01532,0.000000,3.082,4.535,3.133,4.485,232,88.344,0.367,0.01526,3.096,4.411,3.146,4.363,230,-0.337,-0.026,175,172,190,186,
'6N8PLEXX',DE000AAR0298,Aareal Bank AG,AARB,0.050,9/2/2026,A3,EUR,DE,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SENR,500.0,88.961400,0.017077,0.01541,0.000000,2.541,4.552,2.585,4.501,227,89.108,0.017,0.01533,2.554,4.469,2.597,4.420,229,-0.163,0.087,168,169,182,183,
'744ZWZXX',DE000AAR0322,Aareal Bank AG,AARB,0.750,4/18/2028,A3,EUR,DE,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SENR,500.0,85.568000,0.536885,0.01492,0.000000,4.020,4.531,4.085,4.481,245,86.071,0.529,0.01489,4.036,4.377,4.099,4.330,241,-0.572,-0.156,179,173,197,190,
'7Q87WWXX',DE000AAR0355,Aareal Bank AG,AARB,4.500,7/25/2025,A3,EUR,DE,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SENR,500.0,99.899400,2.016393,0.01766,0.000000,1.443,4.552,1.472,4.501,180,100.203,1.967,0.01757,1.457,4.347,1.484,4.301,171,-0.249,-0.145,141,129,141,129,
'6NYULHXX',ES0265936023,ABANCA Corporacion Bancaria S.A.,ABANCA,0.500,9/8/2026,BBB3,EUR,ES,Corporate,Financial,Banking,Banking,SENR,500.0,90.697400,0.162568,0.01574,0.000000,2.551,4.238,2.594,4.226,178,91.205,0.157,0.01571,2.567,4.068,2.607,4.035,169,-0.550,-0.298,126,117,133,122,
'7VGY8OXX',ES0265936031,ABANCA Corporacion Bancaria S.A.,ABANCA,5.250,9/14/2027,BBB3,EUR,ES,Corporate,Financial,Banking,Banking,SENR,500.0,102.811000,1.620902,0.01809,0.000000,3.263,4.401,3.317,4.481,223,103.624,1.564,0.01809,3.283,4.166,3.333,4.249,210,-0.719,-0.389,183,169,178,164,
'8KSMQSXX',ES0365936048,ABANCA Corporacion Bancaria S.A.,ABANCA,5.500,5/18/2025,BBB3,EUR,ES,Corporate,Financial,Banking,Banking,SENR,500.0,101.284200,3.486339,0.01815,0.000000,1.261,4.019,1.282,4.050,118,101.551,3.426,0.01805,1.274,3.907,1.294,3.915,113,-0.197,-0.119,73,67,73,67,
'91QZAIXX',ES0265936056,ABANCA Corporacion Bancaria S.A.,ABANCA,5.875,4/2/2029,BBB3,EUR,ES,Corporate,Financial,Banking,Banking,SENR,500.0,105.317000,1.524932,0.01851,0.000000,4.402,4.519,4.478,4.492,236,106.236,1.461,0.01852,4.424,4.355,4.496,4.323,229,-0.793,-0.340,189,180,185,175,
'BN453785',XS2286044370,ABB Finance B.V.,ABBNVX,0.000,1/19/2030,A3,EUR,CH,Corporate,Industrials,Capital Goods,Diversified Capital Goods,SENR,800.0,83.235200,0.000000,0.02307,0.000000,5.858,3.086,5.916,3.062,111,84.186,0.000,0.02317,5.880,2.886,5.930,2.866,101,-1.130,-0.542,53,41,59,46,
